symbol,r2,slope,trend,max_gap_up,annualised_slope,mul,atr,target_percent,included
GODREJCP,0.6383613972475173,-0.000989625195591736,-1,0.033006874470289056,0.7807277359360124,0.4983864483820036,16.36785714285714,6.1217999999999995,0
PIDILITIND,0.6531464374334064,-0.0011338348290574664,-1,0.026987788870768827,0.7530531069471187,0.49185395400066856,41.98928571428571,5.0101,0
DEVYANI,0.3509234624769991,0.0011975568882331294,1,0.08562075044069503,1.348792971386607,0.4733230996836281,6.432142857142856,3.3367500000000003,0
FORTIS,0.3494701373570136,0.0012086182907643974,1,0.042596694496507076,1.3525235244706666,0.472666581875356,7.310714285714271,4.4109,0
ALKEM,0.27355696347848435,0.001956111697916221,-1,0.044648051192553787,1.6299514851727261,0.4458845789010968,62.88571428571426,3.6212500000000003,0
BIOCON,0.3374095793890133,0.0010864097196238672,1,0.0836734693877551,1.3118718374963414,0.44263812490193255,4.821428571428576,5.328,0
SAIL,0.2995925535547229,0.001555344269519605,1,0.06890848952590958,1.474817116932001,0.44184422608787255,2.903571428571427,3.3626000000000005,0
TORNTPOWER,0.3084792097690163,0.0014249261401897602,1,0.06289059409856816,1.4275761042350184,0.44037754851954936,20.385714285714283,2.9018,0
YESBANK,0.31220177593226317,0.0011443980588211342,1,0.07204610951008646,1.3310071797222014,0.41554280528786425,0.5500000000000005,3.3213500000000007,0
UPL,0.8529946790417715,-0.0028759447664481507,-1,0.02127659574468093,0.4867415181075734,0.41518792501447416,9.203571428571431,6.068,0
BRITANNIA,0.7842804689229218,-0.002599272782732261,-1,0.020058948747339118,0.5216991546374659,0.40915845763576364,60.8892857142857,4.5405,0
AWL,0.8084328433101475,-0.002806863379184503,-1,0.04566553757370465,0.495245092912484,0.4003723985986376,7.546428571428578,4.6098,0
HONAUT,0.5187697468519007,-0.0013136871181245117,-1,0.023636792205751402,0.7199037975772776,0.37346431082688625,633.1499999999999,0.0,0
BATAINDIA,0.3083839916625657,0.0007446409367944823,1,0.05245423914033322,1.204531816383136,0.3714583296207921,31.703571428571454,5.170350000000001,0
TATAELXSI,0.4900485509873954,-0.0011651850018981362,1,0.02418827171351175,0.7471673500458804,0.36614827723507576,130.80714285714274,0.0,0
INDHOTEL,0.2840165322818057,0.0009789560089792982,1,0.0595041322314049,1.277134997478141,0.36272745323947425,10.571428571428568,3.8659499999999998,0
RAMCOCEM,0.5296946308473469,-0.0015263380706806299,1,0.03782505910165487,0.6825796688465446,0.36155878571357475,19.10000000000003,4.5125,0
GUJGASLTD,0.4347205660445257,-0.0007484307763706255,1,0.02395209580838326,0.8292963178318149,0.36051216470648745,7.0071428571428545,6.501599999999999,0
COALINDIA,0.2652570444068162,0.0012181226450613627,1,0.07114933541829549,1.3557371572643897,0.35961883132845096,6.0857142857142845,4.5136,0
CUMMINSIND,0.5397344123150682,-0.001966602356890995,-1,0.022057450724135123,0.6113200371291608,0.32995046097633335,33.04285714285712,5.266049999999999,0
